path	kind	reuse_action	status	evidence	notes
buttons/DefineButton2_1290/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
buttons/DefineButton2_2187/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
buttons/DefineButton2_2189/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
buttons/DefineButton2_2723/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
buttons/DefineButton2_2864/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
fonts/1764_GROBOLD.ttf	font_asset	reuse_after_license_check	pending		
fonts/2465_Verdana.ttf	font_asset	reuse_after_license_check	pending		
fonts/2488_Verdana.ttf	font_asset	reuse_after_license_check	pending		
fonts/2491_GROBOLDpro.ttf	font_asset	reuse_after_license_check	pending		
fonts/2960_Verdana Bold.ttf	font_asset	reuse_after_license_check	pending		
fonts/3014_Verdana.ttf	font_asset	reuse_after_license_check	pending		
fonts/3057_Groboldov Bold.ttf	font_asset	reuse_after_license_check	pending		
fonts/31_Groboldov.ttf	font_asset	reuse_after_license_check	pending		
fonts/36_Verdana.ttf	font_asset	reuse_after_license_check	pending		
fonts/4_Verdana.ttf	font_asset	reuse_after_license_check	pending		
frames/1.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1136.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1139.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1141.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1143.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1146.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1149.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1151.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1153.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1168.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1237.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1266.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1282.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/129.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/131.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/136.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/144.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/146.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1464.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1466.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/148.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1485.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/152.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1522.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1524.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1527.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1530.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/154.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/156.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1562.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1565_smoke1_smoke1.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/158.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/160.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/163.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/165.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1667_bmp_healthbarsmall_bmp_healthbarsmall.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/167.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1670.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1672.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1674.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1676.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1678.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1680.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1683.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1685.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1687.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1689.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1691.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1693.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1699_frame_button_help_frame_button_help.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/1704_bmp_healthbarlarge_bmp_healthbarlarge.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/1705_bmp_overlaytext_bmp_overlaytext.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/1706_bmp_progressbarlarge_bmp_progressbarlarge.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/173.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1732.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/177.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/179.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/181.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1816_bmd_burns_bmd_burns.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/1820_ParticleScorch1_ParticleScorch1.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/183.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1849.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/185.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/187.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/189.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/191.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1918.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1920.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1925.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1927.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/193.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/1944.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/2045_frame2_bottom_right_frame2_bottom_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2046_frame3_filler_right_frame3_filler_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2047_frame2_filler_top_frame2_filler_top.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2048_frame3_top_right_frame3_top_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2049_frame3_background_frame3_background.jpg	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2050_frame_button_close_frame_button_close.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2051_frame2_top_right_frame2_top_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2052_frame2_background_frame2_background.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2053_frame2_top_left_frame2_top_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2054_frame2_filler_bottom_frame2_filler_bottom.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2055_frame3_top_left_frame3_top_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2056_frame3_filler_left_frame3_filler_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2057_frame3_filler_bottom_frame3_filler_bottom.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2058_frame2_filler_right_frame2_filler_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2059_frame2_filler_left_frame2_filler_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2060_frame3_bottom_left_frame3_bottom_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2061_frame2_bottom_left_frame2_bottom_left.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2062_frame3_bottom_right_frame3_bottom_right.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2063_frame3_filler_top_frame3_filler_top.png	image_asset_semantic_name	reuse_via_atlas_pipeline	pending		
images/2065.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/2070.png	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/2132.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
images/2135.jpg	image_asset_numeric_id	reuse_with_symbol_mapping	pending		
